symbol,query_term,ctgov_status,study_count_returned,status_counts,phase_counts,example_studies,trial_gap_interpretation
SNCA,SNCA,ok,25,"{""COMPLETED"": 9, ""ENROLLING_BY_INVITATION"": 1, ""NOT_YET_RECRUITING"": 2, ""RECRUITING"": 8, ""TERMINATED"": 3, ""UNKNOWN"": 1, ""WITHDRAWN"": 1}","{""EARLY_PHASE1"": 1, ""NA"": 5, ""NOT_SPECIFIED"": 11, ""PHASE1"": 5, ""PHASE2"": 4}","NCT03359226: Transcutaneous Submandibular Gland Biopsy: Feasibility of Repeat Biopsy as a Progression Marker for Parkinson's Disease | NCT06528964: Proteinopathies Expression in Skin of Neurodegenerative Disorders | NCT06745011: Prodromal Model of Parkinson's Disease Confined to The Peripheral Nervous System | NCT01888185: Identifying Biomarkers of Parkinson's Disease Using Magnetic Resonance Imaging (MRI) | NCT04685265: A Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of anle138b in Parkinson's Disease",active_or_recruiting_pd_trial_signal
GLP1R,GLP1R,ok,2,"{""UNKNOWN"": 2}","{""PHASE2"": 2}",NCT04305002: Exenatide Treatment in Parkinson's Disease | NCT03659682: GLP1R in Parkinson's Disease,historical_pd_trial_signal_no_active_recruiting_hit_in_query
LRRK2,LRRK2 OR SUNITINIB,ok,25,"{""COMPLETED"": 13, ""ENROLLING_BY_INVITATION"": 1, ""NOT_YET_RECRUITING"": 1, ""RECRUITING"": 4, ""TERMINATED"": 3, ""UNKNOWN"": 3}","{""NA"": 3, ""NOT_SPECIFIED"": 15, ""PHASE1"": 3, ""PHASE2"": 2, ""PHASE3"": 2}","NCT06602193: Safety and Pharmacodynamic Effects of BIIB122 in Participants With LRRK2-Associated Parkinson's Disease (LRRK2-PD) | NCT04668898: LRRK2, GBA and Other Genetic Biomarkers in Eastern European (Ashkenazi) Jews With and Without Parkinson's Disease | NCT03523104: Chinese PD-LRRK2 Registry | NCT03782753: Molecular Pathology and Neuronal Networks in LRRK2 Parkinson's Disease | NCT06993142: Slow-SPEED: Slowing Parkinson's Early Through Exercise Dosage",active_or_recruiting_pd_trial_signal
GBA1,GBA1,ok,25,"{""ACTIVE_NOT_RECRUITING"": 2, ""AVAILABLE"": 1, ""COMPLETED"": 7, ""ENROLLING_BY_INVITATION"": 2, ""NOT_YET_RECRUITING"": 3, ""RECRUITING"": 4, ""SUSPENDED"": 1, ""UNKNOWN"": 4, ""WITHDRAWN"": 1}","{""NA"": 2, ""NOT_SPECIFIED"": 12, ""PHASE1"": 5, ""PHASE2"": 8, ""PHASE3"": 2}","NCT03234478: Parkinson Disease and DBS: Cognitive Effects in GBA Mutation Carriers | NCT06323278: Effectiveness of Cognitive Stimulation Treatment in Patients With Parkinson's Disease | NCT04668898: LRRK2, GBA and Other Genetic Biomarkers in Eastern European (Ashkenazi) Jews With and Without Parkinson's Disease | NCT07055087: Prevent Cognitive Decline in GBA-associated Parkinson's Disease | NCT06732180: Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of GT-02287 in Parkinson's Disease",active_or_recruiting_pd_trial_signal
MAPK1,MAPK1 OR STAUROSPORINE,ok,0,{},{},,no_pd_trial_found_for_target_query
NOD2,NOD2,ok,0,{},{},,no_pd_trial_found_for_target_query
IL17A,IL17A,ok,3,"{""TERMINATED"": 2, ""UNKNOWN"": 1}","{""NA"": 2, ""NOT_SPECIFIED"": 1}","NCT05173701: Effects of Probiotics on Peripheral Immunity in Parkinson's Disease | NCT04652843: Single-center Pathophysiological Study of the Role of Inflammation, Changes in the Intestinal Epithelial Barrier and the Intestinal Microbiota in Parkinson's Disease | NCT03633513: Parkinson's Disease Inflammatory Biomarker Profiling",historical_pd_trial_signal_no_active_recruiting_hit_in_query
TLR2,TLR2,ok,1,"{""UNKNOWN"": 1}","{""PHASE1"": 1}","NCT05790382: Single and Multiple Ascending Dose Study to Assess Safety, Tolerability and Pharmacokinetics of NM-101",historical_pd_trial_signal_no_active_recruiting_hit_in_query
NTRK1,NTRK1 OR SUNITINIB,ok,2,"{""COMPLETED"": 2}","{""NOT_SPECIFIED"": 1, ""PHASE3"": 1}",NCT01860118: LRRK2 and Other Novel Exosome Proteins in Parkinson's Disease | NCT03260894: Pembrolizumab (MK-3475) Plus Epacadostat vs Standard of Care in mRCC (KEYNOTE-679/ECHO-302),historical_pd_trial_signal_no_active_recruiting_hit_in_query
SLC6A3,SLC6A3 OR DESIPRAMINE,ok,25,"{""ACTIVE_NOT_RECRUITING"": 2, ""COMPLETED"": 13, ""ENROLLING_BY_INVITATION"": 2, ""RECRUITING"": 5, ""TERMINATED"": 2, ""UNKNOWN"": 1}","{""NA"": 6, ""NOT_SPECIFIED"": 7, ""PHASE1"": 2, ""PHASE2"": 8, ""PHASE3"": 1, ""PHASE4"": 1}","NCT04658186: A 18-month Study to Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetics of Oral UCB0599 in Study Participants With Early-stage Parkinson's Disease | NCT06745011: Prodromal Model of Parkinson's Disease Confined to The Peripheral Nervous System | NCT00132626: Study of Brain Imaging With Nuclear Technology in Individuals With Parkinsonian Syndrome | NCT04243304: Synaptic Density and Progression of Parkinson's Disease. | NCT00134784: Long-Term Dopamine Transporter Imaging and Clinical Assessment of Parkinson's Disease Progression",active_or_recruiting_pd_trial_signal
