omics_layer,search_term,ncbi_gds_id,accession,title,taxon,entry_type,sample_count,search_total_count,discovery_status
brain transcriptomics,Parkinson disease brain transcriptomics,200327076,GSE327076,The mechanism of circular RNA circ0061693 and its encoded peptide P385 in improving neural injury in Parkinson's disease,Mus musculus,GSE,6,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200326942,GSE326942,Spatial transcriptomics links hippocampal synaptic remodeling to microglial phagocytosis in synucleinopathy,Mus musculus,GSE,2,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200322929,GSE322929,Parkinson’s Disease-Associated Pink1 Loss Disrupts Ensheathing Glia And Causes Dopaminergic Neuron Synapse Loss,Drosophila melanogaster,GSE,18,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200307866,GSE307866,Impact of Alzheimer’s disease risk factors and local neuromelanin content on the transcriptomic landscape of the human locus coeruleus,Homo sapiens,GSE,43,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200272303,GSE272303,Imaging spatial transcriptomics in a transgenic mouse model of α-synucleinopathy,Mus musculus,GSE,8,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200274605,GSE274605,Molecular signatures of altered energy metabolism and circadian rhythm perturbations in a model of synucleinopathy,Mus musculus,GSE,8,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200271118,GSE271118,Single-cell transcriptomics revealed molecular vulnerability in a human midbrain-like organoid model of Parkinson's Disease [MERFISH],synthetic construct; Homo sapiens,GSE,21,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200271116,GSE271116,Single-cell transcriptomics revealed molecular vulnerability in a human midbrain-like organoid model of Parkinson's Disease [scRNA-Seq],Homo sapiens,GSE,15,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200271115,GSE271115,Single-cell transcriptomics revealed molecular vulnerability in a human midbrain-like organoid model of Parkinson's Disease [RNA-Seq],Homo sapiens,GSE,10,85,executed_public_api_dataset_discovery
brain transcriptomics,Parkinson disease brain transcriptomics,200309202,GSE309202,CHCHD2 Mutant Mice Link Mitochondrial Deficits to PD Pathophysiology,Mus musculus,GSE,6,85,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200253981,GSE253981,The spatial landscape of glial pathology and T-cell response in Parkinson’s disease substantia nigra [pdtcrseq],Homo sapiens,GSE,30,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200253975,GSE253975,The spatial landscape of glial pathology and T-cell response in Parkinson’s disease substantia nigra [ST],Homo sapiens,GSE,10,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200253462,GSE253462,The spatial landscape of glial pathology and T-cell response in Parkinson’s disease substantia nigra [snRNAseq],Homo sapiens,GSE,41,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200284454,GSE284454,Gut commensal Parabacteroides goldsteinii mitigates LRRK2 Parkinsonism by reducing neuroinflammation and enhancing gut homeostasis,Mus musculus,GSE,8,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200282273,GSE282273,Human Induced Pluripotent Stem Cells-Derived Neural Organoids as a Novel In Vitro Platform for Developmental Neurotoxicity Assessment,Homo sapiens,GSE,6,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200262249,GSE262249,Single cell transcriptomics reveals obesity-induced endothelial and neurovascular dysfunction in brain: implications for cognitive decline,Mus musculus,GSE,1,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200253569,GSE253569,"Molecular Insights into PCB Neurotoxicity: Comparing Transcriptomic Responses across Dopaminergic Neurons, Population Blood Cells, and Parkinson's Disease Pathology",Homo sapiens,GSE,24,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200225832,GSE225832,Microglia-specific IL-10 gene delivery inhibits neuroinflammation and neurodegeneration in a mouse model of Parkinson’s disease,Mus musculus,GSE,4,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200222480,GSE222480,Transcriptomics and proteomics approach for the identification of altered blood microRNAs and plasma proteins in Parkinson’s disease by Custom Brain Specific miRNA OpenArray Real-time PCR panel,Homo sapiens,GSE,96,21,executed_public_api_dataset_discovery
blood transcriptomics,Parkinson disease blood transcriptomics,200260461,GSE260461,Sex-dependent APOE4 Neutrophil-microglia interactions drive cognitive impairment in Alzheimer's Disease,Homo sapiens,GSE,39,21,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200299914,GSE299914,SNCA triplication disrupts proteostasis and extracellular architecture prior to neurodegeneration in human midbrain organoids [Ribo-seq],Homo sapiens,GSE,6,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200299913,GSE299913,SNCA triplication disrupts proteostasis and extracellular architecture prior to neurodegeneration in human midbrain organoids [RNA-seq],Homo sapiens,GSE,6,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200308270,GSE308270,Prenatal low-dose MeHg exposure leads to proteomic and transcriptomic alterations consistent with neurodegenerative disease in the cerebellum of C57BL/6 mice,Mus musculus,GSE,6,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200239793,GSE239793,DJ1 ablation enhances CMA activity to exacerbate BAT whitening in humanized mice,Mus musculus,GSE,15,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200279704,GSE279704,Bruton’s tyrosine kinase inhibitor leads to bidirectional transcript regulation of Nurr1: A new key to Parkinson’s disease,Mus musculus,GSE,15,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200274938,GSE274938,Spatial transcriptomics n the postmortem brains of severe acute COVID19 [midbrain],Homo sapiens,GSE,79,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200274933,GSE274933,Spatial transcriptomics in the postmortem brains of severe acute COVID19 [Pons],Homo sapiens,GSE,119,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200274932,GSE274932,Spatial transcriptomics n the postmortem brains of severe acute COVID19 [FGWM],Homo sapiens,GSE,121,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200274266,GSE274266,Bulk tissue direct gene expression in the postmortem brains of severe acute COVID19 patients and matched controls II,Homo sapiens,GSE,12,16,executed_public_api_dataset_discovery
proteomics,Parkinson disease proteomics,200274265,GSE274265,Bulk tissue direct gene expression in the postmortem brains of severe acute COVID19 patients and matched controls I,Homo sapiens,GSE,98,16,executed_public_api_dataset_discovery
metabolomics,Parkinson disease metabolomics,200272947,GSE272947,Methylation profiling by array for Dementia with Lewy Bodies using brain tissue,Homo sapiens,GSE,31,5,executed_public_api_dataset_discovery
metabolomics,Parkinson disease metabolomics,200232039,GSE232039,Neuroprotective effect of a medium-chain triglyceride ketogenic diet on MPTP-induced Parkinson’s disease mice: A combination of transcriptomics and metabolomics in the substantia nigra and fecal microbiome,Mus musculus,GSE,9,5,executed_public_api_dataset_discovery
metabolomics,Parkinson disease metabolomics,200221077,GSE221077,SIRT6 is a key regulator of mitochondrial function in the brain,Mus musculus,GSE,8,5,executed_public_api_dataset_discovery
metabolomics,Parkinson disease metabolomics,200195834,GSE195834,Methylation profiling by array for Parkinson's disease using brain tissue,Homo sapiens,GSE,78,5,executed_public_api_dataset_discovery
metabolomics,Parkinson disease metabolomics,200184694,GSE184694,"Genomic, Transcriptomic, and Metabolomic Profiles of iPSC-derived Dopaminergic Neurons from Clinically Discordant Brothers with Identical PRKN Deletions",Homo sapiens,GSE,16,5,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200313041,GSE313041,Loss of epigenetic adaptation to a high-fat diet in alpha-synuclein transgenic mice,Mus musculus,GSE,66,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200318173,GSE318173,"Epigenome‐wide association study, meta‐analysis, and multiscore profiling of whole blood in Parkinson's disease",Homo sapiens,GSE,559,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200267937,GSE267937,Parkinson’s disease-associated shifts between DNA methylation and DNA hydroxymethylation in human brain,Homo sapiens,GSE,200,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200272142,GSE272142,Genome‑wideBrain DNAMethylationandGeneExpression Patterns Unravel Epigenetic Reprogramming in Mesial Temporal Lobe Epilepsy,Homo sapiens,GSE,12,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200272947,GSE272947,Methylation profiling by array for Dementia with Lewy Bodies using brain tissue,Homo sapiens,GSE,31,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200246902,GSE246902,Mdivi-1: Effective but complex mitochondrial fission inhibitor,Homo sapiens,GSE,2,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200249025,GSE249025,Identification of salsolinol as an RNA m6A methylation inducer that mediates dopaminergic neuronal death by regulating YAP1 and autophagy,Rattus norvegicus,GSE,6,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200122244,GSE122244,Whole genome methylation analysis in blood and in specific cell blood subtypes in Parkinson’s disease.,Homo sapiens,GSE,70,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200228961,GSE228961,Distinct Impacts of Alpha-Synuclein Overexpression on the Hippocampal Epigenome of Mice in Standard and Enriched Environments,Mus musculus,GSE,32,63,executed_public_api_dataset_discovery
DNA methylation,Parkinson disease methylation,200227299,GSE227299,Small noncoding RNA Dysregulation is Implicated in Manganism in a Rat Model of Methylcyclopentadienyl Manganese Tricarbonyl-Induced Unrepaired Striatum Damage,Rattus norvegicus,GSE,9,63,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200309545,GSE309545,Inflammatory signaling differentially changes chromatin accessibility and gene expression of the PD-associated kinase LRRK2 between human and mice [multiome mouse],Mus musculus,GSE,64,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200322929,GSE322929,Parkinson’s Disease-Associated Pink1 Loss Disrupts Ensheathing Glia And Causes Dopaminergic Neuron Synapse Loss,Drosophila melanogaster,GSE,18,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200316223,GSE316223,An In Vivo Model of a-Synuclein Spread from Gut to Brain,Danio rerio,GSE,12,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200288856,GSE288856,Clonal CD8+ T Cells Populate the Leptomeninges and Coordinate with Immune Cells in Human Degenerative Brain Diseases,Homo sapiens,GSE,113,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200309202,GSE309202,CHCHD2 Mutant Mice Link Mitochondrial Deficits to PD Pathophysiology,Mus musculus,GSE,6,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200306642,GSE306642,Single-Cell Atlas of Neuroglial Dynamics in SNCA-A53T Parkinson's Disease Model,Mus musculus,GSE,6,48,executed_public_api_dataset_discovery
single-cell transcriptomics,Parkinson disease single cell substantia nigra,200253981,GSE253981,The spatial landscape of glial pathology and T-cell response in Parkinson’s disease substantia nigra [pdtcrseq],Homo sapiens,GSE,30,48,executed_public_api_dataset_discovery
